Time,Duration
2016-06-06 15:25:00.341,58.77
2016-06-06 15:35:24.830,58.71
2016-06-06 15:27:27.112,58.68
2016-06-06 15:40:00.342,58.67
2016-06-06 15:04:31.108,58.48
2016-06-06 15:07:00.542,58.41
2016-06-06 15:19:00.275,58.1
2016-06-06 15:12:00.288,58.09
2016-06-06 15:06:07.336,58.07
2016-06-06 15:06:13.412,58.05
2016-06-06 15:34:00.390,57.9
2016-06-06 15:21:00.290,57.61
2016-06-06 15:35:24.766,57.53
2016-06-06 15:44:00.221,57.33
2016-06-06 15:43:08.740,57.3
2016-06-06 15:06:00.351,57.28
2016-06-06 15:39:00.328,57.24
2016-06-06 15:19:00.342,57.11
2016-06-06 15:26:00.341,56.99
2016-06-06 15:19:22.326,56.98
2016-06-06 15:14:00.345,56.8
2016-06-06 15:08:00.283,56.78
2016-06-06 15:36:00.323,56.73
2016-06-06 15:03:00.625,56.71
2016-06-06 15:09:00.255,56.71
2016-06-06 15:04:31.044,56.65
2016-06-06 15:37:00.365,56.62
2016-06-06 15:36:00.259,56.6
2016-06-06 15:24:44.424,56.37
2016-06-06 15:27:25.014,56.25
2016-06-06 15:24:48.344,56.18
2016-06-06 15:24:44.363,56.15
2016-06-06 15:31:00.507,56.04
2016-06-06 15:13:00.279,55.9
2016-06-06 15:15:00.304,55.89
2016-06-06 15:06:07.401,55.27
2016-06-06 15:24:48.406,55.11
2016-06-06 15:01:00.770,54.82
2016-06-06 15:27:27.176,54.73
2016-06-06 15:32:00.282,54.73
2016-06-06 15:06:15.628,54.46
2016-06-06 15:15:00.551,54.46
2016-06-06 15:19:22.266,54.4
2016-06-06 15:34:00.201,54.38
2016-06-06 15:14:03.053,54.25
2016-06-06 15:24:00.324,54.2
2016-06-06 15:32:00.343,54.13
2016-06-06 15:13:00.341,54.08
2016-06-06 15:43:09.800,53.53
2016-06-06 15:38:05.373,53.47
2016-06-06 15:18:00.292,53.36
2016-06-06 15:19:22.182,53.33
2016-06-06 15:30:11.715,52.95
2016-06-06 15:33:00.327,52.89
2016-06-06 15:18:10.297,52.81
2016-06-06 15:40:00.175,52.8
2016-06-06 15:35:24.687,52.45
2016-06-06 15:27:31.693,52.35
2016-06-06 15:30:10.917,52.24
2016-06-06 15:29:00.697,52.09
2016-06-06 15:27:27.026,51.89
2016-06-06 15:38:00.318,51.89
2016-06-06 15:22:04.984,51.85
2016-06-06 15:14:00.287,51.7
2016-06-06 15:09:00.318,51.67
2016-06-06 15:38:05.434,51.67
2016-06-06 15:02:05.369,51.55
2016-06-06 15:22:05.133,51.49
2016-06-06 15:27:24.957,51.37
2016-06-06 15:24:44.284,51.35
2016-06-06 15:37:00.212,51.26
2016-06-06 15:23:00.291,51.08
2016-06-06 15:25:00.195,50.9
2016-06-06 15:00:00.248,50.84
2016-06-06 15:35:00.252,50.57
2016-06-06 15:23:00.234,50.51
2016-06-06 15:38:00.186,50.5
2016-06-06 15:03:01.964,50.22
2016-06-06 15:06:13.327,50.21
2016-06-06 15:35:00.309,50.12
2016-06-06 15:20:00.216,49.58
2016-06-06 15:32:47.209,49.57
2016-06-06 15:38:00.377,49.47
2016-06-06 15:16:00.270,49.46
2016-06-06 15:28:00.374,49.37
2016-06-06 15:12:00.351,49.16
2016-06-06 15:08:00.346,48.97
2016-06-06 15:11:00.295,48.72
2016-06-06 15:29:00.584,48.62
2016-06-06 15:18:10.977,48.56
2016-06-06 15:30:11.999,48.47
2016-06-06 15:18:00.352,48.46
2016-06-06 15:21:00.208,48.4
2016-06-06 15:21:00.737,48.34
2016-06-06 15:38:00.238,48.07
2016-06-06 15:31:00.452,47.99
2016-06-06 15:18:00.201,47.95
2016-06-06 15:02:05.274,47.89
2016-06-06 15:39:00.273,47.75
2016-06-06 15:32:47.358,47.65
2016-06-06 15:03:00.425,47.48
2016-06-06 15:30:07.602,47.2
2016-06-06 15:12:00.212,47.1
2016-06-06 15:16:00.326,46.93
2016-06-06 15:24:00.181,46.93
2016-06-06 15:11:00.350,46.9
2016-06-06 15:33:00.182,46.88
2016-06-06 15:20:00.359,46.59
2016-06-06 15:13:00.202,46.37
2016-06-06 15:38:05.836,46.37
2016-06-06 15:17:00.342,46.37
2016-06-06 15:08:43.484,46.35
2016-06-06 15:07:00.216,46.26
2016-06-06 15:10:00.188,46.2
2016-06-06 15:30:11.354,46.19
2016-06-06 15:43:09.031,46.17
2016-06-06 15:01:00.842,46.1
2016-06-06 15:06:13.253,46.05
2016-06-06 15:16:00.716,45.98
2016-06-06 15:24:48.268,45.93
2016-06-06 15:15:00.482,45.91
2016-06-06 15:02:05.427,45.87
2016-06-06 15:08:43.867,45.82
2016-06-06 15:43:09.569,45.64
2016-06-06 15:18:10.900,45.59
2016-06-06 15:06:15.470,45.35
2016-06-06 15:00:00.305,45.23
2016-06-06 15:15:00.230,45.08
2016-06-06 15:24:44.799,44.96
2016-06-06 15:30:10.575,44.78
2016-06-06 15:29:00.756,44.43
2016-06-06 15:27:27.341,44.3
2016-06-06 15:06:07.516,44.16
2016-06-06 15:30:12.188,44.03
2016-06-06 15:08:43.820,43.89
2016-06-06 15:27:25.656,43.88
2016-06-06 15:14:02.903,43.86
2016-06-06 15:08:00.211,43.8
2016-06-06 15:06:00.209,43.66
2016-06-06 15:18:11.033,43.65
2016-06-06 15:27:00.181,43.59
2016-06-06 15:06:07.262,43.58
2016-06-06 15:18:10.156,43.49
2016-06-06 15:38:05.300,43.47
2016-06-06 15:36:00.185,43.42
2016-06-06 15:26:00.199,43.36
2016-06-06 15:01:00.588,43.3
2016-06-06 15:19:00.200,43.28
2016-06-06 15:30:07.163,43.15
2016-06-06 15:22:01.461,43.02
2016-06-06 15:44:00.809,43.01
2016-06-06 15:14:13.591,42.98
2016-06-06 15:27:27.590,42.94
2016-06-06 15:17:00.201,42.92
2016-06-06 15:32:00.210,42.91
2016-06-06 15:05:00.211,42.73
2016-06-06 15:14:00.200,42.54
2016-06-06 15:37:00.768,42.35
2016-06-06 15:38:05.594,42.2
2016-06-06 15:35:25.242,42.15
2016-06-06 15:39:00.206,42.02
2016-06-06 15:26:00.739,41.97
2016-06-06 15:27:00.433,41.8
2016-06-06 15:17:00.699,41.74
2016-06-06 15:30:07.772,41.49
2016-06-06 15:24:44.751,41.48
2016-06-06 15:14:03.435,41.41
2016-06-06 15:32:47.459,41.28
2016-06-06 15:43:10.392,41.07
2016-06-06 15:04:30.974,40.97
2016-06-06 15:17:00.745,40.92
2016-06-06 15:06:00.713,40.92
2016-06-06 15:35:24.941,40.73
2016-06-06 15:43:09.523,40.59
