Onderwerp	Begindatum	Begintijd	Einddatum	Eindtijd	Beschrijving
"Volver  Pedro Almodóvar  "	6-11-2006	20:00	6-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	7-11-2006	20:00	7-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	8-11-2006	20:00	8-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	9-11-2006	20:00	9-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	10-11-2006	20:00	10-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	11-11-2006	20:00	11-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	12-11-2006	20:00	12-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	13-11-2006	20:00	13-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Volver  Pedro Almodóvar  "	14-11-2006	20:00	14-11-2006	22:00	"Volver (“Terugkeren”) is de zestiende film van de Spaanse filmmeester Almodóvar. Een dode moeder keert terug naar haar dochters Sole en Raimunda. Als geest natuurlijk. Zo kan zij nog zaken veranderen die tijdens haar leven misliepen. Haar aanwezigheid is een troost voor haar dochters en haar kleinzoon. De zes hoofdrolspeelsters van Volver kregen in Cannes collectief de Gouden Palm voor ‘beste vrouwelijke hoofdrol’. Penélope Cruz moest voor haar rol als huiswerk oude films met Sophie Loren bekijken.
Spanje 2005, lengte 130 minuten, regie Pedro Almodóvar met Penélope Cruz, Carmen Maura, Lola Dueñas, Blanca Portillo, Yohana Cobo, Chus Lampreave"
"Me and You and Everyone We Know  Miranda July  "	6-11-2006	19:30	6-11-2006	21:30	"Het licht surrealistische Me and You van videokunstenaar en performance artiest Miranda July is een hilarische en indringende observatie van de onderlinge relaties tussen mensen in de moderne maatschappij. Allemaal zijn ze op zoek naar liefde en vriendschap. Een filosoferende schoenverkoper, zijn kinderen die onbekommerd via MSN communiceren, experimenterende pubers en een prettig gestoorde kunstenaar die bejaarden vervoert. De film maakte een zegetocht langs verschillende festivals en won in Cannes de eerste prijs voor beste speelfilmdebuut.
Verenigde staten 2005, lengte 90 minuten, regie Miranda July, met Ellen Geer, John Hawkes"
"Me and You and Everyone We Know  Miranda July  "	13-11-2006	19:30	13-11-2006	21:30	"Het licht surrealistische Me and You van videokunstenaar en performance artiest Miranda July is een hilarische en indringende observatie van de onderlinge relaties tussen mensen in de moderne maatschappij. Allemaal zijn ze op zoek naar liefde en vriendschap. Een filosoferende schoenverkoper, zijn kinderen die onbekommerd via MSN communiceren, experimenterende pubers en een prettig gestoorde kunstenaar die bejaarden vervoert. De film maakte een zegetocht langs verschillende festivals en won in Cannes de eerste prijs voor beste speelfilmdebuut.
Verenigde staten 2005, lengte 90 minuten, regie Miranda July, met Ellen Geer, John Hawkes"
